Cote d'Ivoire,CIV,Pump price for gasoline (US$ per liter),0.740,0.760,0.850,1.140,1.200,1.330,1.680,1.510,1.420,0.930,1.220,1.320
Cameroon,CMR,Pump price for gasoline (US$ per liter),0.640,0.560,0.680,0.950,1.140,1.140,1.200,1.100,1.240,1.030,1.065,1.153
"Congo, Dem. Rep.",COD,Pump price for gasoline (US$ per liter),0.500,1.000,0.700,0.920,0.940,1.230,1.280,1.480,1.680,1.490,1.485,1.583
"Congo, Rep.",COG,Pump price for gasoline (US$ per liter),0.720,0.530,0.690,0.870,0.960,0.810,1.270,1.150,1.130,0.970,1.060,1.095
Colombia,COL,Pump price for gasoline (US$ per liter),0.240,0.490,0.440,0.720,0.980,1.040,1.410,1.280,1.080,0.680,0.980,1.030
Cabo Verde,CPV,Pump price for gasoline (US$ per liter),0.810,0.590,,1.400,,1.840,1.840,2.300,1.560,1.020,1.660,1.610
Costa Rica,CRI,Pump price for gasoline (US$ per liter),,,0.640,0.780,0.980,1.240,1.140,1.570,1.440,0.980,1.275,1.358
Caribbean small states,CSS,Pump price for gasoline (US$ per liter),,0.560,,0.705,0.940,0.875,1.020,,1.290,,0.000,0.645
Cuba,CUB,Pump price for gasoline (US$ per liter),0.500,,0.900,0.950,1.100,1.670,1.720,1.400,1.400,,0.700,1.050
Cyprus,CYP,Pump price for gasoline (US$ per liter),0.780,0.570,0.830,1.080,1.250,1.280,1.470,1.770,1.610,1.230,1.500,1.555
Czech Republic,CZE,Pump price for gasoline (US$ per liter),0.720,0.770,0.810,1.080,1.300,1.370,1.750,1.930,1.670,1.170,1.550,1.610
Germany,DEU,Pump price for gasoline (US$ per liter),0.960,0.910,1.030,1.460,1.550,1.560,1.900,1.960,1.800,1.390,1.675,1.738
Djibouti,DJI,Pump price for gasoline (US$ per liter),,,,,,,1.630,1.750,1.410,1.320,1.535,1.473
Denmark,DNK,Pump price for gasoline (US$ per liter),1.050,1.010,1.090,1.510,1.580,1.540,2.000,2.020,2.010,1.550,1.785,1.898
Dominican Republic,DOM,Pump price for gasoline (US$ per liter),0.400,0.710,0.490,0.850,1.030,1.040,1.230,1.580,1.410,1.070,1.325,1.368
Algeria,DZA,Pump price for gasoline (US$ per liter),0.310,0.270,0.220,0.320,0.320,0.340,0.320,0.290,0.270,0.280,0.285,0.278
East Asia & Pacific (excluding high income),EAP,Pump price for gasoline (US$ per liter),0.310,0.385,,0.540,0.710,0.915,1.080,1.310,1.170,0.820,1.065,1.118
