S.No,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,iso_code
32,33,Pakistan,"556,000",1,41.9,3.9,1.03,217.85,"1,194",306,7,PAK
65,66,Panama,"155,000",0,588.6,5.49,1.45,306.68,"12,510","2,279",4,PAN
44,45,Peru,"246,000",0,121.9,6.26,1.65,349.82,"6,127",979,8,PER
38,39,Philippines,"429,000",0,63.4,5.88,1.55,328.46,"3,299",561,9,PHL
112,113,Papua New Guinea,"37,001",0,68.6,5.87,1.55,327.83,"2,637",449,7,PNG
31,32,Poland,"582,161",1,234.9,6.8,1.8,380.07,"15,721","2,312",10,POL
70,71,Puerto Rico,"96,746",0,451.7,5.41,1.43,302.23,"32,291","5,969",13,PRI
64,65,Portugal,"236,866",0,351.7,8.55,2.26,477.78,"22,176","2,594",7,PRT
101,102,Paraguay,"51,000",0,115.4,5.3,1.4,295.89,"4,950",934,8,PRY
51,52,Qatar,"172,000",0,993.4,2.18,0.58,121.82,"50,124","22,993",23,QAT
55,56,Romania,"200,000",0,154.9,6.87,1.82,384.08,"12,896","1,877",12,ROU
4,5,Russia,"3,631,287",4,383.2,3.41,0.9,190.56,"10,127","2,970",8,RUS
151,152,Rwanda,"6,700",0,8.8,5.36,1.42,299.27,798,149,17,RWA
5,6,Saudi Arabia,"3,302,000",3,1560.2,2.35,0.62,131.34,"20,110","8,557",5,SAU
81,82,Sudan,"140,000",0,53.9,3.6,1.27,268.18,596,124,2,SDN
81,82,Chad,"140,000",0,53.9,4.8,1.27,268.18,596,124,2,TCD
105,106,Senegal,"49,000",0,50.1,5.39,1.42,300.96,"1,488",276,6,SEN
15,16,Singapore,"1,357,000",1,3679.5,8.71,2.3,486.87,"59,798","6,865",2,SGP
154,155,Sierra Leone,"6,500",0,13.6,5.17,1.37,288.91,485,94,7,SLE
102,103,El Salvador,"52,000",0,125.4,4.31,1.14,240.9,"3,799",881,7,SLV
152,153,Somalia,"5,600",0,6.1,3.03,0.8,169.2,309,102,17,SOM
86,87,Serbia,"74,000",0,128.1,6.64,1.76,371.18,"7,721","1,163",9,SRB
158,159,Suriname,"13,000",0,352.8,4.26,1.13,237.94,"6,491","1,524",4,SUR
85,86,Slovakia,"81,587",0,229.8,7.5,1.98,418.98,"19,267","2,569",11,SVK
100,101,Slovenia,"52,298",0,386.5,6.15,1.62,343.48,"25,517","4,149",11,SVN
43,44,Sweden,"322,109",0,502,8.7,2.3,486.24,"52,274","6,009",12,SWE
163,164,Seychelles,"7,299",0,1169.1,6.9,1.82,385.35,"10,764","1,560",1,SYC
136,137,Togo,"15,000",0,30.6,3.18,0.84,177.45,915,288,9,TGO
18,19,Thailand,"1,302,000",1,289.4,5.7,1.51,318.73,"7,189","1,261",4,THA
144,145,Tajikistan,"21,000",0,37.2,5.94,1.57,332.06,859,145,4,TJK
57,58,Turkmenistan,"149,000",0,403.4,1.62,0.43,90.52,"7,612","4,699",12,TKM
180,181,Tonga,899,0,136.3,16.2,4.28,905.22,"4,903",303,2,TON
95,96,Trinidad and Tobago,"57,000",0,634.3,3.76,0.99,210.02,"15,426","4,103",6,TTO
75,76,Tunisia,"97,000",0,131.5,2.86,0.76,159.68,"3,320","1,161",9,TUN
21,22,Turkey,"941,861",1,180.9,6.06,1.6,338.4,"8,536","1,409",8,TUR
20,21,Taiwan,"981,203",1,636.9,3.94,1.04,220.17,"25,936","6,583",10,TWN
117,118,Uganda,"32,001",0,12.4,5.7,1.51,318.52,817,143,12,UGA
45,46,Ukraine,"244,000",0,83.7,6.44,1.7,359.76,"3,727",579,7,UKR
93,94,Uruguay,"53,000",0,237.3,7.64,2.02,427.02,"15,438","2,021",9,URY
98,99,Uzbekistan,"49,000",0,23.9,3.39,0.9,189.29,"1,686",497,21,UZB
30,31,Venezuela,"598,000",1,307.1,0.08,0.02,4.65,"16,056","200,700",654,VEN
33,34,Vietnam,"478,000",1,78.3,5.38,1.42,300.75,"2,786",518,7,VNM
