Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Sierra Leone,SLE,Pump price for gasoline (US$ per liter),0.61,0.55,0.51,0.76,0.98,0.91,0.94,1.05,1.04,1.08,1.065,1.053
El Salvador,SLV,Pump price for gasoline (US$ per liter),0.54,0.67,0.46,0.65,0.82,0.78,0.92,1.26,1.12,0.83,1.045,1.083
Somalia,SOM,Pump price for gasoline (US$ per liter),0.41,0.44,0.35,1.36,0.74,1.12,1.31,1.34,1.8,1.41,0.705,0.353
Serbia,SRB,Pump price for gasoline (US$ per liter),0.61,0.56,0.74,1,1.45,1.29,1.5,1.78,1.55,1.16,1.47,1.51
Sub-Saharan Africa (excluding high income),SSA,Pump price for gasoline (US$ per liter),0.59,0.615,0.66,0.88,1.035,1.14,1.245,1.355,1.32,0.95,1.153,1.236
South Sudan,SSD,Pump price for gasoline (US$ per liter),1.01,1.33,1.51,1.34,1.76,1.59,1.5,1.97,1.98,0.28,1.125,1.553
Sub-Saharan Africa,SSF,Pump price for gasoline (US$ per liter),0.59,0.615,0.66,0.88,1.035,1.14,1.245,1.355,1.32,0.95,1.153,1.236
Small states,SST,Pump price for gasoline (US$ per liter),0.436,0.551,0.592,0.745,0.822,0.91,1.08,1.4,1.32,1,1.2,1.26
Suriname,SUR,Pump price for gasoline (US$ per liter),0.56,0.56,0.56,0.5,0.94,0.91,1.14,1.57,1.29,1.021,1.296,1.293
Slovak Republic,SVK,Pump price for gasoline (US$ per liter),0.61,0.69,0.74,1.17,1.35,1.57,1.7,1.98,1.77,1.32,1.65,1.71
Slovenia,SVN,Pump price for gasoline (US$ per liter),0.66,0.63,0.76,1.12,1.23,1.18,1.67,1.86,1.78,1.32,1.59,1.685
Sweden,SWE,Pump price for gasoline (US$ per liter),1.09,0.94,1.06,1.51,1.46,1.38,1.87,2.1,1.82,1.42,1.76,1.79
Eswatini,SWZ,Pump price for gasoline (US$ per liter),0.37,0.47,0.541,0.76,0.8,0.86,1.07,1.3,1.14,0.77,1.035,1.088
Syrian Arab Republic,SYR,Pump price for gasoline (US$ per liter),0.45,0.44,0.53,0.46,0.6,0.85,0.96,0.79,0.83,0.543,0.667,0.748
Chad,TCD,Pump price for gasoline (US$ per liter),0.7,0.68,0.79,1.17,1.31,1.3,1.32,0.95,0.9,0.78,0.865,0.883
East Asia & Pacific (IDA & IBRD countries),TEA,Pump price for gasoline (US$ per liter),0.305,0.412,0.521,0.54,0.73,0.92,1.11,1.31,1.17,0.84,1.075,1.123
Europe & Central Asia (IDA & IBRD countries),TEC,Pump price for gasoline (US$ per liter),0.51,0.55,0.57,0.825,1.005,1.13,1.21,1.45,1.32,1.03,1.24,1.28
Togo,TGO,Pump price for gasoline (US$ per liter),0.42,0.48,0.56,0.85,1.03,0.89,1.18,1.16,1.25,0.71,0.935,1.093
Thailand,THA,Pump price for gasoline (US$ per liter),0.3,0.39,0.36,0.54,0.7,0.87,1.41,1.56,1.29,0.71,1.135,1.213
Tajikistan,TJK,Pump price for gasoline (US$ per liter),0.26,0.45,0.36,0.67,0.8,1.03,1.02,1.45,1.32,0.71,1.08,1.2
Turkmenistan,TKM,Pump price for gasoline (US$ per liter),0.09,0.02,0.02,0.02,0.02,0.22,0.22,0.22,0.22,0.29,0.255,0.238
Latin America & the Caribbean (IDA & IBRD countries),TLA,Pump price for gasoline (US$ per liter),0.47,0.62,0.54,0.685,0.89,0.865,1.03,1.27,1.19,0.945,1.108,1.149
Timor-Leste,TLS,Pump price for gasoline (US$ per liter),0.43,0.46,0.52,0.65,0.98,1.22,1.4,1.65,1.17,1.1,1.375,1.273
Middle East & North Africa (IDA & IBRD countries),TMN,Pump price for gasoline (US$ per liter),0.33,0.355,0.255,0.39,0.46,0.55,0.86,0.79,0.88,0.73,0.76,0.82
South Asia (IDA & IBRD),TSA,Pump price for gasoline (US$ per liter),0.575,0.59,0.53,0.72,0.91,1.09,1.12,1.22,1.185,0.91,1.065,1.125
Sub-Saharan Africa (IDA & IBRD countries),TSS,Pump price for gasoline (US$ per liter),0.59,0.615,0.66,0.88,1.035,1.14,1.245,1.355,1.32,0.95,1.153,1.236
Trinidad and Tobago,TTO,Pump price for gasoline (US$ per liter),0.39,0.39,0.4,0.35,0.43,0.36,0.4,0.43,0.47,0.54,0.485,0.478
Tunisia,TUN,Pump price for gasoline (US$ per liter),0.6,0.49,0.29,0.68,0.83,0.96,0.94,0.93,0.91,0.73,0.83,0.87
Turkiye,TUR,Pump price for gasoline (US$ per liter),0.78,0.88,1.02,1.44,1.88,1.87,2.52,2.54,2.06,1.42,1.98,2.02
Tanzania,TZA,Pump price for gasoline (US$ per liter),0.63,0.75,0.67,0.93,1.04,1.11,1.22,1.31,1.29,0.87,1.09,1.19
Uganda,UGA,Pump price for gasoline (US$ per liter),0.86,0.86,0.83,1.02,1.17,1.3,1.42,1.442,1.4,0.94,1.191,1.296
Ukraine,UKR,Pump price for gasoline (US$ per liter),0.49,0.37,0.47,0.55,0.81,0.88,1.01,1.35,1.17,0.83,1.09,1.13
Upper middle income,UMC,Pump price for gasoline (US$ per liter),0.46,0.545,0.52,0.72,0.88,1.04,1.13,1.395,1.29,0.92,1.158,1.224
Uruguay,URY,Pump price for gasoline (US$ per liter),0.9,1.19,0.46,1.13,1.23,1.18,1.49,1.97,1.8,1.5,1.735,1.768
United States,USA,Pump price for gasoline (US$ per liter),0.32,0.47,0.4,0.54,0.63,0.56,0.76,0.97,0.76,0.71,0.84,0.8
Uzbekistan,UZB,Pump price for gasoline (US$ per liter),0.11,0.14,0.38,0.35,0.85,1.35,0.92,1.02,1.02,1.03,1.025,1.023
"Venezuela, RB",VEN,Pump price for gasoline (US$ per liter),0.14,0.12,0.05,0.04,0.03,0.02,0.023,0.023,0.015,0.01,0.012,0.013
British Virgin Islands,VGB,Pump price for gasoline (US$ per liter),0.72,0.95,0.66,0.82,1.11,1,1.25,1.32,1.81,1.55,1.82,1.815
Vietnam,VNM,Pump price for gasoline (US$ per liter),0.35,0.38,0.34,0.48,0.67,0.8,0.88,1.15,1.04,0.8,0.975,1.008
World,WLD,Pump price for gasoline (US$ per liter),0.54,0.6,0.58,0.805,0.98,1.11,1.22,1.41,1.34,0.97,1.19,1.265
Kosovo,XKX,Pump price for gasoline (US$ per liter),0.61,0.56,0.74,1.16,1.22,1.1,1.63,1.65,1.54,1.11,1.38,1.46
"Yemen, Rep.",YEM,Pump price for gasoline (US$ per liter),0.26,0.21,0.21,0.19,0.3,0.3,0.35,0.58,0.7,0.92,0.75,0.725
South Africa,ZAF,Pump price for gasoline (US$ per liter),0.43,0.5,0.43,0.81,0.85,0.87,1.19,1.38,1.19,0.92,1.15,1.17
Zambia,ZMB,Pump price for gasoline (US$ per liter),0.53,0.63,0.72,1.1,1.31,1.7,1.66,1.48,1.68,1.4,1.44,1.56
Zimbabwe,ZWE,Pump price for gasoline (US$ per liter),0.26,0.85,0.05,0.61,1.02,1.3,1.29,1.52,1.56,1.34,1.43,1.495
