Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Colombia,COL,Pump price for gasoline (US$ per liter),0.24,0.49,0.44,0.72,0.98,1.04,1.41,1.28,1.08,0.68,0.98,1.03
Cabo Verde,CPV,Pump price for gasoline (US$ per liter),0.81,0.59,0.711,1.4,1.543,1.84,1.84,2.3,1.56,1.02,1.66,1.61
Costa Rica,CRI,Pump price for gasoline (US$ per liter),0.39,0.55,0.64,0.78,0.98,1.24,1.14,1.57,1.44,0.98,1.275,1.358
Caribbean small states,CSS,Pump price for gasoline (US$ per liter),0.427,0.56,0.633,0.705,0.94,0.875,1.02,1.112,1.29,1.312,1.212,1.251
Cuba,CUB,Pump price for gasoline (US$ per liter),0.5,0.631,0.9,0.95,1.1,1.67,1.72,1.4,1.4,1.021,1.211,1.305
Cyprus,CYP,Pump price for gasoline (US$ per liter),0.78,0.57,0.83,1.08,1.25,1.28,1.47,1.77,1.61,1.23,1.5,1.555
Czech Republic,CZE,Pump price for gasoline (US$ per liter),0.72,0.77,0.81,1.08,1.3,1.37,1.75,1.93,1.67,1.17,1.55,1.61
Germany,DEU,Pump price for gasoline (US$ per liter),0.96,0.91,1.03,1.46,1.55,1.56,1.9,1.96,1.8,1.39,1.675,1.738
Djibouti,DJI,Pump price for gasoline (US$ per liter),0.69,0.88,0.91,1.33,1.53,1.57,1.63,1.75,1.41,1.32,1.535,1.473
Denmark,DNK,Pump price for gasoline (US$ per liter),1.05,1.01,1.09,1.51,1.58,1.54,2,2.02,2.01,1.55,1.785,1.898
Dominican Republic,DOM,Pump price for gasoline (US$ per liter),0.4,0.71,0.49,0.85,1.03,1.04,1.23,1.58,1.41,1.07,1.325,1.368
Algeria,DZA,Pump price for gasoline (US$ per liter),0.31,0.27,0.22,0.32,0.32,0.34,0.32,0.29,0.27,0.28,0.285,0.278
East Asia & Pacific (excluding high income),EAP,Pump price for gasoline (US$ per liter),0.31,0.385,0.44,0.54,0.71,0.915,1.08,1.31,1.17,0.82,1.065,1.118
Early-demographic dividend,EAR,Pump price for gasoline (US$ per liter),0.41,0.53,0.515,0.625,0.8,0.87,1.02,1.24,1.14,0.91,1.075,1.108
East Asia & Pacific,EAS,Pump price for gasoline (US$ per liter),0.41,0.445,0.42,0.68,0.87,0.94,1.205,1.36,1.23,0.9,1.13,1.18
Europe & Central Asia (excluding high income),ECA,Pump price for gasoline (US$ per liter),0.49,0.55,0.48,0.68,0.86,1.115,1.105,1.385,1.27,0.815,1.1,1.185
Europe & Central Asia,ECS,Pump price for gasoline (US$ per liter),0.67,0.72,0.8,1.17,1.29,1.28,1.59,1.805,1.6,1.18,1.493,1.546
Ecuador,ECU,Pump price for gasoline (US$ per liter),0.38,0.31,0.55,0.54,0.47,0.51,0.53,0.58,0.6,0.61,0.595,0.598
"Egypt, Arab Rep.",EGY,Pump price for gasoline (US$ per liter),0.29,0.26,0.19,0.28,0.3,0.49,0.48,0.45,0.88,0.4,0.425,0.653
Euro area,EMU,Pump price for gasoline (US$ per liter),0.84,0.75,0.84,1.21,1.34,1.5,1.7,1.92,1.79,1.36,1.64,1.715
Eritrea,ERI,Pump price for gasoline (US$ per liter),0.37,0.56,0.36,0.8,1.9,2.53,2.54,2.49,3.33,2,2.245,2.788
Spain,ESP,Pump price for gasoline (US$ per liter),0.84,0.73,0.83,1.21,1.15,1.23,1.56,1.75,1.63,1.26,1.505,1.568
Estonia,EST,Pump price for gasoline (US$ per liter),0.45,0.6,0.58,0.94,1.23,1.18,1.54,1.76,1.46,1.14,1.45,1.455
Ethiopia,ETH,Pump price for gasoline (US$ per liter),0.36,0.46,0.52,0.6,0.93,0.92,0.91,1.05,0.99,0.75,0.9,0.945
European Union,EUU,Pump price for gasoline (US$ per liter),0.78,0.76,0.84,1.21,1.32,1.38,1.67,1.91,1.77,1.32,1.615,1.693
Fragile and conflict affected situations,FCS,Pump price for gasoline (US$ per liter),0.49,0.555,0.525,0.835,0.96,1.1,1.15,1.25,1.21,0.9,1.075,1.143
Finland,FIN,Pump price for gasoline (US$ per liter),1.17,1.06,1.12,1.54,1.55,1.57,1.94,2.08,1.89,1.45,1.765,1.828
Fiji,FJI,Pump price for gasoline (US$ per liter),0.5,0.66,0.79,0.91,1.07,1.15,1.33,1.41,1.34,0.82,1.115,1.228
